I'm saying no.	Estou dizendo que não.
Brasil is the largest human genetics laboratory in the world.	O Brasil é o maior laboratório genético humano do mundo.
What's the panic?	O que é o pânico?
Experts on oncology have long recommended as a way to not get sick a regular eating of fruit, vegetables, cereals and legumes.	Os especialistas em oncologia vêm recomendando, como uma forma de evitar enfermidades, o consumo regular de frutas, vegetais, cereais e legumes.
Do you want to go to the zoo with me?	Quer ir ao jardim zoológico comigo?
Do you know how?	Você sabe como?
It was a pleasure.	Foi um prazer.
I don't want to be a burden to my parents.	Eu não quero ser um fardo para os meus pais.
How come this never happens to me?	Como que isso nunca acontece comigo?
I think his method of teaching has good points and bad points.	Eu acho que seu método de ensino tem pontos positivos e pontos negativos.
Can you bring this box into the living room, please?	Você pode trazer esta caixa para a sala, por favor?
I'm afraid you'll need more than a conical hat to be a real wizard.	Eu acho que você vai precisar de mais do que um chapéu pontudo para ser um mago de verdade.
I'm going to help you now.	Eu irei te ajudar agora.
Are you sure, Tom?	Tem certeza, Tom?
I talk too much.	Eu falo demais.
No one contradicted Tom.	Ninguém contraria o Tom.
Hand injuries from cutting avocados are common.	Ferimentos na mão de cortar abacates são comuns.
I cannot walk any farther.	Não posso andar mais nem um pouco.
I've been hoping to hear from you.	Eu venho tendo esperanças de ter notícias suas.
Tom is pulling Mary's hair.	Tom está puxando o cabelo de Maria.
One of you is lying.	Um de vocês está mentindo.
Does Tom have an iPad?	O Tom tem iPad?
I just don't want to marry Tom.	Eu não quero casar com Tom.
You're an engineer.	Você é engenheiro.
Isn't that just what you'd expect from the prince? He certainly has the character of a truly great man.	Não é exatamente isso que se esperaria do príncipe? É certo que ele tem o caráter de um homem verdadeiramente grande.
Tom isn't likely to want to do that again.	O Tom não vai querer fazer isso de novo.
I'm bald.	Estou careca.
Where's my brush?	Onde está minha escova?
Don't be pretentious.	Não seja pretensioso.
Tom isn't jealous.	Tom não é invejoso.
Tom and Mary are sitting together on the couch.	Tom e Maria estão sentados juntos no sofá.
I have no other choice.	Eu não tenho outra escolha.
I think that I'll buy the cheaper one.	Eu acho que vou comprar o mais barato.
I was given a nice present by my uncle.	Eu recebi um belo presente de meu tio.
Yoko would not have taken chemistry unless she had needed it.	Yoko não teria feito química a menos que precisasse.
Tomorrow is Friday.	Amanhã é sexta-feira.
Do the best you can.	Faça o melhor que você pode.
You shouldn't go.	Você não deveria ir.
Did you live here?	Vocês moraram aqui?
I know how Tom got wet.	Sei como o Tom se molhou.
Getting excited is not at all the same as getting angry.	Ficar animado definitivamente não é o mesmo que ficar irritado.
Are you saying I smell bad?	Você está dizendo que estou fedendo?
I screamed.	Eu gritei.
The cat is almost five meters away from the dog.	O gato está a cinco metros do cachorro.
Every country has the government it deserves.	Todo país tem o governante que merece.
It's all dark outside.	Lá fora está totalmente escuro.
I promise you I won't do it again.	Eu te prometo que não irei fazer isso de novo.
I think that you should try again.	Eu acho que você deveria tentar novamente.
Tom made some mistakes on the test.	Tom cometeu alguns erros no teste.
Merry Christmas to all of Tom's supporters and our best wishes for a very good and peaceful 2016.	Feliz Natal para todos os que apoiam o Tom, e os nossos melhores votos para que 2016 seja um ano muito bom e cheio de paz.
Once it cools, the agarose solidifies and the optical fibers are selectively removed using solvents.	Assim que arrefece, a agarose solidifica e as fibras óticas são removidas seletivamente usando solventes.
The cats drink milk.	Os gatos bebem leite.
Maybe we should talk to Tom.	Talvez devamos falar com o Tom.
I found your diary.	Eu encontrei o teu diário.
Tom surrendered.	Tom desistiu.
When she was reading the letter, she looked sad.	Quando estava lendo a carta, ela parecia triste.
She fooled him.	Ela o fez de bobo.
Tom is the blackmailer.	Tom é o chantagista.
I'm tired of fighting with you.	Estou cansado de lutar com você.
I didn't get the meaning.	Não entendi o significado.
Do you think that I'm a dictator?	Você acha que eu sou um ditador?
That information isn't correct.	Essa informação não é correta.
Can you lend me your car, as a favor?	Você me empresta o seu carro, fazendo um favor?
You don't have to be a part of this.	Você não tem que fazer parte disto.
Could you please explain what's going on here?	Você poderia explicar o que está acontecendo aqui, por favor?
Has anybody talked to Tom?	Alguém falou com o Tom?
Did you speak to Tom?	Você falou com o Tom?
She went with him to the movies.	Ela foi com ele ao cinema.
Do you like mine?	Você gosta da minha?
I'm not teaching them languages.	Eu não estou ensinando línguas a eles.
Mary shows the mirror.	Maria mostra o espelho.
He made his fortune dealing in illegal weapons.	Ele fez fortuna traficando armas ilegais.
I have not yet read the book you are talking about.	Ainda não li o livro do qual você está falando.
I should've tried to stop it.	Eu deveria ter tentado pará-lo.
You should come.	Você deveria vir.
Why didn't you take the bus?	Por que vocês não pegaram o ônibus?
I know the perfect place for our party.	Conheço o lugar perfeito para a nossa festa.
You need a lot more capital.	Você precisa de um capital muito maior.
All your questions will be answered.	Todas as suas perguntas serão respondidas.
I'd suggest you order beef instead of chicken.	Eu recomendo que você peça carne em vez de frango.
You should be a diplomat.	Deverias ser diplomata.
Tom'll change.	Tom vai mudar.
I'm afraid I have some very bad news.	Temo que eu tenha algumas notícias muito ruins.
Tom sold his house for $300,000.	Tom vendeu a casa dele por 300,000 dólares.
I wanted to buy one of Tom's paintings.	Eu queria comprar um dos quadros de Tom.
She doesn't care about us, that's all.	Ela não se importa conosco, é isso.
Can you gift-wrap this, please?	Você pode embalar isso para presente, por favor?
Tom won't fight.	Tom não briga.
I parked my car in the driveway and got out.	Estacionei meu carro na garagem e saí.
Tom doesn't trust Mary.	Tom não confia em Maria.
I didn't know how to respond to Tom.	Eu não sabia como responder o Tom.
Are you for or against my plan?	Você está a favor ou contra meu plano?
Be especially careful of ice on overpasses and bridges while driving in the winter.	Em particular tenha cuidado com o gelo nos viadutos e pontes quando estiver dirigindo no inverno.
Are you going to be free tomorrow afternoon?	Você vai estar ocupado amanhã de manhã?
Would you like to say something?	Você gostaria de dizer alguma coisa?
I didn't know what to say.	Eu não sabia o que dizer.
I wanted to scream.	Eu queria gritar.
Tom was left for dead.	Tom foi deixado para morrer.
Mary is wearing a black dress.	Maria está usando um vestido preto.
Gustavo went straight home.	Gustavo foi direto para casa.
Sami had a migraine headache.	Sami estava com enxaqueca.
They hired me.	Contrataram-me.
Tom says that he wants to buy a new computer.	Tom diz que quer comprar um novo computador.
Tom insisted on coming to see you.	Tom insistiu em vir ver você.
I think we got everyone out.	Eu acho que tiramos todo mundo.
They won't be cold.	Eles não estarão com frio.
I asked myself why.	Eu me perguntava por quê.
What do you think about Catalunya's independence?	O que você pensa sobre a independência da Catalunha?
I never did figure it out.	Nunca imaginei isso.
She needn't have come to the meeting.	Ela não precisou de vir ao encontro.
Tom was lying to you about that.	O Tom estava mentindo para você sobre isso.
Do you think we should leave?	Você acha que devemos sair?
Why don't you go back to the city?	Por que vocês não voltam para a cidade?
Are you from Boston, too?	Vocês também são de Boston?
Do you like pineapple soda?	Você gosta de suco de abacaxi?
Please give me that one.	Por favor me dê esse.
Where are you in the world?	Onde diabos você está?
Our Web site, http://www.example.com will tell you all you need to know.	Nosso website http://www.exemplo.com.br irá te dizer tudo o que você precisa saber.
I don't have many options.	Eu não tenho muitas opções.
What sort of a person is Tom?	Que tipo de pessoa o Tom é?
Tom likes to read books.	Tom adora de ler livros.
I'm really scared of spiders.	Eu realmente tenho muito medo de aranhas.
Am I dressed normally?	Estou vestida normalmente?
I don't often laugh.	Eu não rio com frequência.
Are you teaching Spanish?	Você está ensinando espanhol?
No one knows her name.	Ninguém sabe o nome dela.
He let out a sigh when the job was finished.	Ele suspirou quando o trabalho foi concluído.
Here's the one I forgot.	Aí está o que eu esqueci.
Are you trying to trick me?	Você está tentando me enganar?
It is both good and cheap.	É tão barato quanto bom.
We can't lie to them.	Não posso mentir para elas.
Why were you disappointed?	Por que você estava desapontado?
This town is depressing.	Esta cidade é deprimente.
She'll be having dinner with him at this time tomorrow.	Ela estará jantando com ele amanhã a essa hora.
I have to go to my cousin's baptism.	Tenho que ir ao batizado do meu primo.
Face it. You're not young anymore.	Enfrente. Você não é mais jovem.
I've been cooperative.	Eu tinha cooperado.
Tom suggested that we study French.	Tom sugeriu que nós estudássemos francês.
Tom slept a lot longer than I did.	Tom dormiu mais tempo que eu.
The day is very beautiful and the sea is tranquil.	O dia está muito bonito e o mar está calmo.
Tom has already told me I need to do that.	O Tom já me disse que preciso fazer isso.
It was a chaotic scene.	Foi uma cena caótica.
Do you still want me to help Tom?	Vocês ainda querem que eu ajude o Tom?
You can talk to Tom.	Você pode falar com o Tom.
Did you forget that again?	Você se esqueceu disso de novo?
Antonio Guterres was sworn in Friday for a second 5-year term as U.N. Secretary-General after the General Assembly approved it by acclamation.	António Guterres prestou juramento na sexta-feira para um segundo mandato de 5 anos enquanto secretário-geral da ONU após a Assembleia Geral o ter aprovado por aclamação.
I've just witnessed a miracle from God.	Acabei de ver um milagre de Deus.
I'm still working hard.	Eu ainda estou trabalhando duro.
Tom was impulsive.	Tom era impulsivo.
Unfortunately, I had another commitment.	Infelizmente, eu tive outro compromisso.
Is there anything in the box?	Há algo na caixa?
I'm not sure this is a good idea.	Não estou certo se isso é uma boa ideia.
Tom was promoted.	Tom foi promovido.
I only want what's best for everyone.	Eu apenas quero o que é melhor para todo mundo.
They argue quite often.	Eles brigam bastante.
What size are you looking for?	Qual o tamanho que você está procurando?
You have no idea what this is, do you?	Vocês não têm ideia do que seja isso, têm?
You could've helped me.	Você poderia ter me ajudado.
Tom said that he was feeling great.	O Tom disse que ele estava se sentindo ótimo.
I'll write my address down for you.	Eu vou anotar o meu endereço para você.
We'll be rescued.	Nós seremos resgatados.
Tom is reading a novel.	Tom está lendo um romance.
Are you listening to me?	Você está me ouvindo?
She's an individualist.	Ela é individualista.
This law can be interpreted in many ways.	Esta lei pode ser interpretada de muitas maneiras.
I don't think that Tom knows how to use that.	Eu acho que Tom não sabe usar isso.
What did you think Tom would do?	O que o senhor acreditou que Tom ia fazer?
I hope you like spicy food.	Eu espero que você goste de comida apimentada.
I was once like you.	Já fui como tu.
I've always wondered about this.	Sempre me perguntei sobre isso.
Is it true that you received a present from Taninna?	É verdade que você recebeu um presente de Taninna?
I am going to introduce you to the rest of the crew.	Vou apresentar você ao resto do pessoal.
That sounds strange.	Isso soa estranho.
I'm writing a song in French.	Estou compondo uma música em francês.
Tom thought that Mary wouldn't like Malaysian food.	Tom achou que Maria não gostaria de comida malaia.
I'll take a beer.	Pegarei uma cerveja.
A UFO is flying in the sky.	A UFO está voando no céu.
Come to bed with me.	Venha se deitar comigo.
They didn't talk.	Eles não falaram.
They have eyes but they do not see - ears, and they do not hear.	Eles têm olhos, mas não veem; orelhas, mas não ouvem.
I think Tom was bluffing.	Eu acho que Tom estava blefando.
I didn't think that I'd be early.	Eu não achava que chegaria cedo.
They're unreliable.	Eles não são confiáveis.
You've got my goggles.	Você pegou os meus óculos de mergulho.
What's the first thing you remember?	Qual é a primeira coisa que você lembra?
Tom looked at the clock on the wall.	Tom olhou para o relógio na parede.
Tom bought me food.	Tom me comprou comida.
Tom tried to sell the camera that he'd stolen.	Tom tentou vender a câmera que havia roubado.
I have something important to tell you.	Tenho uma coisa importante para vos revelar.
By asking, you get to the city.	Perguntando, você chega à cidade.
Memorize this.	Memorize.
Be kind to them.	Seja bonzinho com elas.
That's what you have to do.	Isso é o que vocês têm que fazer.
I have diabetes.	Sou diabética.
Tom signed up for a French course.	Tom se inscreveu para um curso de Francês.
He asked for a pay raise.	Ele pediu um aumento de salário.
What's today's menu?	Qual o cardápio de hoje?
It has been three years since Bob started his own business.	Faz três anos que Bob iniciou seu próprio negócio.
You convinced me.	Você me convenceu.
It must be nice to be rich.	Deve ser bom ser rico.
I suspect that you won't need that.	Eu acho que você não vai precisar disso.
They're not good.	Eles não são bons.
You can't play with our feelings like that.	Você não pode brincar com os nossos sentimentos assim.
I want the two of you to try to get along with each other.	Quero que vocês dois se deem bem um com o outro.
I hit him in the stomach.	Eu o acertei no estômago.
What happened to all that money?	O que aconteceu com todo aquele dinheiro?
We don't know who he is.	Nós não sabemos quem ele é.
She was relieved from insomnia.	Ela se livrou da insônia.
I want to go back now.	Quero ir para casa agora.
Tom says he's good at swimming.	O Tom diz que ele é bom em natação.
He's a sexist.	Ele é sexista.
She said that?	Ela disse isso?
My temperature was below thirty-seven degrees this morning.	Minha temperatura estava abaixo de trinta e sete graus esta manhã.
I still don't know who Tom and Mary are.	Eu ainda não sei quem são Tom e Maria.
Tom died of typhoid fever.	Tom morreu de febre tifóide.
No computer is aware of what it's doing, but most of the time, neither are we.	Nenhum computador tem consciência do que está fazendo, mas, na maior parte do tempo, nós também não.
The weather was bad this weekend.	O tempo estava ruim neste fim de semana.
It reminds me of her.	Faz-me lembrar dela.
Those are values that we all share.	Estes são valores que todos nós compartilhamos.
I'm sorry that you can't come this evening.	Lamento por vocês não poderem comparecer esta noite.
Nice to meet you, my name is Carlos.	Prazer em conhecê-la, meu nome é Carlos.
Tom can't go to the concert with you tonight.	Tom não pode ir ao concerto com você esta noite.
Could you please heat this soup up a bit?	Você poderia esquentar um pouco esta sopa?
I am cursed with really dry skin.	Estou amaldiçoado com uma pele realmente seca.
Are you sure it was yesterday that Tom did that?	Tem certeza de que foi ontem que Tom fez isso?
We've gotten pretty good at it.	Ficamos muito bons nisso.
You're awful at keeping secrets.	Você é ótimo em guardar segredos.
What do they mean?	O que eles querem dizer com isso?
"""What foreign language are you studying?"" ""I'm studying French."""	"'Que língua estrangeira você está estudando?' ""Estou estudando francês."""
That'll happen eventually.	Isso terá de acontecer um dia.
I hope Tom can get help.	Eu espero que Tom possa conseguir ajuda.
What are you working on?	Em que vocês estão trabalhando?
Tom entered the house.	Tom entrou na casa.
Tom blushed.	Tom morreu de vergonha.
You'll have to talk to Tom.	Você terá de falar com Tom.
Tom is seriously mistaken.	Tom está completamente enganado.
You can see dust everywhere.	Você pode ver poeira em todos os lugares.
I'm pretty tired.	Estou muito cansado.
How did you achieve that?	Como você conseguiu?
Mike works out in the gym two or three times a week.	Mike malha na academia duas ou três vezes por semana.
I supposed a ghost would appear.	Supus que um fantasma apareceria.
It's not as simple as you think.	Não é tão simples quanto você acha.
You're just sad.	Você só está triste.
Pierre, come here!	Pierre, vem cá!
I'm going to meet a customer in his office today.	Hoje vou me reunir com um cliente no escritório dele.
The boy plays with the wooden horse.	O menino brinca com o cavalo de pau.
Get rid of her.	Livre-se dela.
Tom hates it.	Tom odeia.
Tom says he has a lot of friends in Boston.	Tom diz que tem muitos amigos em Boston.
It's very important.	Isto é muito importante.
I'm looking forward to it.	Mal posso esperar.
What else could Tom do?	O que mais o Tom poderia fazer?
I'd like a glass of water, please.	Um copo de água, por favor.
We knew we could do it.	Sabíamos que poderíamos fazê-lo.
Could I speak to Tom?	Posso falar com Tom?
I believe that Tom is not guilty.	Eu acredito que Tom não é culpado.
Can you help me wash the dishes?	Você pode me ajudar a lavar os pratos?
Did you receive the letter?	Vocês receberam a carta?
We adopted him.	Nós o adotamos.
I have no time tomorrow.	Não tenho tempo amanhã.
Why's Tom wearing that hat?	Por que Tom está usando aquele chapéu?
I don't know if Tom is still alive or not.	Eu não sei se o Tom ainda está vivo ou não.
Tom is so much older than I am.	Tom é bem mais velho que eu.
It'll rain tonight.	Esta noite choverá.
Children grow up so fast.	As crianças crescem tão rápido.
Are you going to call the police?	Você vai chamar a polícia?
I don't think we should be fighting.	Eu não acho que deveríamos estar brigando.
I'm glad you've returned safe and sound.	Alegra-me que você tenha voltado sã e salvo.
You are to blame for the accident.	Você é o culpado do acidente.
It's me that went there yesterday.	Fui eu que estive lá ontem.
I would also like to see the ocean.	Eu também gostaria de ver o oceano.
I owe Tom $300.	Estou devendo ao Tom trezentos dólares.
Excuse me for interrupting you, but would you mind opening the window?	Desculpe-me te interroper, mas você se importaria em abrir a janela?
You're not busy, are you?	Você não está ocupado, está?
"You think that the language that you want to learn will be the ""language of the future""?"	Tu pensas que o idioma que tu queres aprender será o ''idioma do futuro''?
Be discreet.	Sê discreto.
Can I get you some water?	Posso trazer água para você?
I told you this was going to be boring.	Eu te disse que isso ia ser chato.
Porto Alegre is the southernmost capital city of a Brazilian state.	Porto Alegre é a capital do estado mais meridional do Brasil.
I think you'll be surprised.	Eu acho que você ficará surpreso.
Just talk about the language that you want learn. Why do you want to learn it?	Só fale sobre a língua que você quer aprender. Por que você quer aprende-la?
He made up for lost time by running fast.	Ele compensou o tempo perdido correndo rapidamente.
Apparently, Tom is still alive.	Parece que Tom ainda está vivo.
Since she didn't say anything, get ready!	Já que ela não disse nada, então se pronto!
It's all about sentences. Not words.	Ele é um dicionário de frases, não palavras.
I know that Tom is suspicious.	Sei que o Tom é suspeito.
I'll be responsible.	Eu serei responsável.
We can make it work.	Nós podemos fazer isso funcionar.
Tom is still on the phone.	Tom ainda está ao telefone.
The Netherlands won the 2010 World Cup.	A Holanda venceu a Copa do Mundo de 2010.
Sami's affair ended months ago.	O caso de Sami acabou meses atrás.
Tom was in the hospital.	Tom estava no hospital.
You're still a policeman, aren't you?	Você ainda é policial, não é?
I have to return to Boston.	Tenho de retornar para Boston.
I came wanting to be with you.	Vim com vontade de ficar contigo.
Tom says he doesn't like Boston.	Tom diz que ele não gosta de Boston.
I'm sorry you feel that way.	Sinto muito que se sinta assim.
We are all stupid, just on different subjects.	Nós somos todos estúpidos, apenas em diferentes assuntos.
I decided not to go.	Eu decidi não ir.
We had no other option but to bring her back from Brazil.	Não tivemos outra opção senão trazê-la do Brasil.
It's impossible to cross the river by swimming. It's too wide!	Não dá para atravessar o rio a nado, ele é muito extenso!
Do you miss Tom?	Vocês sentem falta do Tom?
Tom said that Mary should be more careful.	Tom disse que Mary deveria ser mais cuidadosa.
I haven't yet read the book Tom lent me.	Eu ainda não li o livro que Tom me emprestou.
I hope we have enough food for everyone.	Espero que tenhamos comida suficiente para todo mundo.
Tom needs to study a lot harder.	Tom precisa estudar mais duro.
I can only pay 100 dollars at most.	Eu posso pagar 100 dólares no máximo.
What did Tom drink?	O que Tom tomou?
Why do I love the Greek language so much? Could it be that I was Greek in another life?	Por que tanto me encanta a língua grega? Será que já fui grego em outra vida?
Be careful. The floor is slippery.	Tome cuidado. O chão está escorregadio.
If it's raining tomorrow, we'll go by car.	Se estiver chovendo amanhã, nós vamos de carro.
You live across the street, don't you?	Você mora do outro lado da rua, não é?
We don't want to ignore facts.	Não queremos ignorar os fatos.
We just finished.	Terminamos neste instante.
The dog's house is outside.	A casa do cachorro é lá fora.
I can't tell you everything you want to know.	Eu não posso te contar tudo o que você quer saber.
Tom doesn't want his picture taken.	Tom não quer tirar foto dele.
Does he have a doctorate ?	Ele tem doutorado?
Do you see anybody?	Você vê alguém?
His remark was not intended to be a factual statement.	A sua observação não tinha intenção de ser uma afirmação factual.
Tom was born in Boston and grew up in Chicago.	Tom nasceu em Boston e cresceu em Chicago.
I need you to help me move this bookcase.	Preciso que você me ajude a mudar de posição esta estante.
The monkey dances for money.	O macaco dança por dinheiro.
The power outages damaged the computer.	As falhas de energia danificaram o computador.
Don't you like it?	Você não gosta?
Tom got rich quickly.	Tom ficou rico rápido.
Tom didn't seem to be busy.	Tom não parecia estar ocupado.
Mary died.	Maria morreu.
This girl speaks English and German.	Esta menina fala inglês e alemão.
She studies 24 / 7.	Ela estuda vinte e quatro horas por dia, sete dias por semana.
He was quite weak in his childhood.	Ele era bem fraco na infância.
Intellectually we know prejudice is wrong.	Intelectualmente falando sabemos que preconceito é errado.
Please call him up.	Por favor, ligue para ele.
I think about ghosts a lot.	Eu penso muito em fantasmas.
A bunch of people were standing outside waiting.	Algumas pessoas estavam lá fora paradas esperando.
His term of office as governor expires next January.	Seu período de função como governador expira janeiro que vem.
I wonder why Tom didn't want to come to Boston with us.	Eu queria saber por que Tom não queria vir para Boston conosco.
They told me they're cold.	Eles me disseram que estavam com frio.
I want you to promise me that you'll do that.	Quero que o senhor me prometa que fará isso.
You're scared, aren't you?	Vocês estão com medo, né?
I am winking at him, but he's not looking.	Estou piscando para ele, mas ele não está olhando.
The robber was never apprehended.	O ladrão nunca foi preso.
Solar power is a clean source of energy.	Energia solar é uma fonte limpa de energia.
Tom said he's never lied to Mary.	Tom disse que nunca mentiu para Mary.
Mayuko's dream came true.	O sonho de Mayuko se tornou realidade.
That's scheduled to happen on Monday.	Isso está agendado para a segunda-feira.
Tom wasn't murdered.	Tom não foi assassinado.
What are you complaining about?	Do que você está reclamando?
Tom needs medical assistance.	Tom precisa de assistência médica.
You can have as many as you want.	Você pode comer quantos quiser.
I have enjoyed myself very much.	Eu me diverti muito.
I feel like eating popcorn.	Estou com vontade de comer pipoca.
We'll talk about it in the morning.	Falaremos sobre isso pela manhã.
You have it in the bag.	Você está com ele na bolsa.
We'll know soon.	Nós saberemos em breve.
Keep in touch!	Mantenha contato!
Your speech sucked.	O seu discurso foi uma droga.
You can't imagine how tired I am.	Você não imagina como eu estou cansado.
The relative may be omitted in English, but never in Latin.	O relativo pode omitir-se em Inglês, mas nunca em Latim.
Add a little sugar and cream.	Adicione um pouco de açúcar e creme.
The hotel is next to the movie theater.	O hotel fica ao lado do cinema.
That was my big mistake.	Esse foi o meu grande erro.
Shouldn't you be at work?	Você não deveria estar no trabalho?
Are you really ready to help?	Você está mesmo pronto para ajudar?
There was nobody there.	Não estava ninguém lá.
Are you all right?	Vocês estão bem?
It seems that he is telling a lie.	Parece que ele está contando uma mentira.
He's moving in with his girlfriend.	Ele está se mudando junto com sua namorada.
Look up at the sky.	Olhe para o céu.
I haven't spoken with Tom yet.	Ainda não falei com o Tom.
You must keep your promise.	Você deve manter a promessa.
Tom is well aware of what is going on at the office.	Tom está bem ciente do que está acontecendo no escritório.
I had an interesting conversation with my neighbor.	Tive uma interessante conversa com meu vizinho.
This one's on the house.	Esta é por conta da casa.
What could be more fair than that?	O que poderia ser mais justo do que isso?
Tom said he'll do that.	O Tom disse que vai fazer isso.
Turn off your cellphone.	Desligue o seu celular.
You should grow facial hair.	Você deveria criar barba.
Everybody was wearing gloves.	Todos estavam usando luvas.
It was so dark.	Estava tão escuro.
The translator's task is to create, in his or her own language, the same tensions appearing in the original. That's hard!	A tarefa do tradutor é criar, em sua própria língua, as mesmas tensões que aparecem no original. Isso é difícil!
He doesn't have the ability to do the work properly.	Ele não tem a capacidade de fazer o trabalho adequadamente.
The only buddy he has is alcohol.	O único companheiro que ele tem é o álcool.
I would like some fish.	Eu quero peixe.
I'm sure Tom will make you proud.	Eu tenho certeza de que o Tom a deixará orgulhosa.
It's stuck.	Está emperrado.
You must be mistaken.	Você deve estar enganada.
I forbid you to smoke.	Eu te proíbo de fumar.
If your colleagues don't work, either you do their work or I'll dismiss you by tomorrow morning.	Se os seus colegas não trabalham, ou você faz o trabalho deles ou vou demiti-lo amanhã de manhã.
It's a great party.	Está uma festa ótima.
Tom got dumped.	Tom levou um fora.
I doubt if Tom will be skeptical.	Duvido que o Tom seja cético.
I don't want to sign that.	Eu não quero assinar isso.
I have to go to the police station.	Tenho de ir à delegacia de polícia.
This one's on the house.	Este é por conta da casa.
What did you open it with?	Com o quê você abriu ele?
She needs to learn more German words.	Ela precisa aprender mais palavras alemãs.
He's watching me.	Ele está me observando.
Can you contact me?	Você pode entrar em contato comigo?
Love has ended.	O amor acabou.
The scientists placed wires on the dogs' heads to measure electrical activity in the brain.	Os cientistas colocaram fios nas cabeças dos cães para medicar a atividade elétrica do cérebro.
Would you like to eat lunch with me?	Você gostaria de almoçar comigo?
Tom wants me to go to Boston with him.	O Tom quer que eu vá para Boston com ele.
Why doesn't she sit with me anymore?	Por que ela não senta mais comigo?
You're immature.	Você é imaturo.
Born in 1939 to parents who ran a gasoline station, Mr. Howard trained as a solicitor.	Nascido em 1939 de pais que geriam um posto de gasolina, o sr. Howard formou-se em solicitadoria.
That man is in love with my sister.	Aquele homem está apaixonado pela minha irmã.
I'm sick of being called a liar.	Eu estou cansado de ser chamado de mentiroso.
Forget what I said.	Esqueça o que eu disse.
A golden key opens all doors.	Uma chave dourada abre todas as portas.
Have you heard Tom speaking French?	Você já ouviu o Tom falando francês?
She was accompanied by her mother.	Ela foi acompanhada da mãe.
Where will you spend your next vacation?	Onde você vai passar suas próximas férias?
Sounds good!	Ótimo!
Has there been any change in policy?	Houve alguma mudança na política?
I don't understand why that's important.	Não consigo entender por que isso é importante.
She is not quite content.	Ela não está muito satisfeita.
Tatoeba can help people to learn minority languages.	Tatoeba pode ajudar as pessoas a aprender línguas minoritárias.
Mary pretended she didn't care.	Mary fingiu que não se importava.
He is a fast speaker.	Ele fala rápido.
You aren't invited.	Vocês não foram convidadas.
I wish you wouldn't call me that.	Eu queria que você não me chamasse daquilo.
You're always nagging me.	Você está sempre me incomodando.
I have a complicated matter I want to discuss with you.	Eu tenho um assunto complicado que desejo discutir com o senhor.
Tom likes you more than he likes anyone else.	Tom gosta de você mais do que qualquer outro.
I wish you wouldn't smoke so much.	Eu queria que você não fumasse tanto.
I thought I was alone.	Pensei que estivesse sozinho.
I wonder if Prince William lets anyone call him Bill.	Será que o príncipe William deixa que alguém o chame de Bill?
I raise cattle.	Crio gado.
Tom couldn't remember anything.	Tom não podia se lembrar de nada.
You're too suspicious about everything.	Vós suspeitais demais de tudo.
She didn't find what she was looking for.	Ela não encontrou o que estava procurando.
Unbroken happiness is a bore: it should have ups and downs.	Felicidade ininterrupta é um tédio: ela deve ter altos e baixos.
I did that the way I usually do.	Eu fiz isso da maneira que costumo fazer.
Now we're together again.	Agora nós estamos juntos novamente.
Patience is a virtue that I don't possess.	Paciência é uma virtude que eu não possuo.
I would like to come but you know that I can't.	Eu gostaria de ir, mas você sabe que eu não posso.
Does he really understand that?	Será que ele está realmente entendendo isso?
Do you remember?	Vocês se lembram?
Am I ready to die?	Estou preparado para morrer?
Aurélie has several faults. She is lazy and given to gossiping.	Aurélia tem vários defeitos. É preguiçosa e gosta de fofocar.
It's a perfect day.	Está um dia perfeito.
They were panting.	Elas estavam arquejando.
Is that what Tom wants?	É isso que Tom quer?
What'll become of the children now that both parents are dead?	O que será dos filhos agora se os dois pais morreram?
Never put all your eggs in one basket.	Nunca ponha todos os ovos em uma cesta.
"""Bye."" ""See you soon."""	"""Tchau"". ""Até logo""."
It wasn't her idea.	Não foi ideia dela.
This school was founded in 1650.	Essa escola foi fundada em 1650.
I'll go right now.	Vou embora agora mesmo.
Have you ever heard of Nessie?	Você já ouviu falar de Nessie?
She is a more proficient leader than he is.	Ela é uma chefe mais competente do que ele.
Isn't it fun?	Não é divertido?
Do you speak Amharic?	Falas amárico?
He's highly intelligent.	Ele tem uma inteligência privilegiada.
Get Tom away from here.	Tirem Tom daqui.
She hid behind the trunk of the nearest tree.	Ela se escondeu atrás do tronco da árvore mais próxima.
What are you apologizing for?	Pelo que você está pedindo desculpas?
We just have to be patient.	Só temos que ser pacientes.
Tom could get here if he wanted to.	Tom poderia vir aqui, se ele quisesse.
They're not sure.	Eles não têm certeza.
The revolution will be useless without pictures.	Sem fotografias, uma revolução não serve para nada.
Take off your coat.	Tire o seu casaco.
Which hat do you want to wear?	Qual chapéu você gostaria de usar?
Tom went back to Boston yesterday.	Tom voltou para Boston ontem.
He has been to America.	Ele esteve na América.
She still hasn't gotten used to cell phones.	Ela ainda não se acostumou com telefones celulares.
My tail hurts!	Minha cauda está doendo!
Sami got extremely jealous.	Sami ficou extremamente ciumento.
They don't know yet.	Elas ainda não sabem.
His son is ill.	O filho dele está doente.
I'll forgive, but I won't forget.	Perdoarei, mas não esquecerei.
How can I change your mind?	Como posso fazê-lo mudar de ideia?
"""How will you keep Tom from going to the police?"" ""I'll offer him money."""	"""Como você vai impedir que o Tom vá à polícia?"" ""Vou lhe oferecer dinheiro."""
You must never forget that.	Não podes esquecer isso nunca.
Layla even moved into a separate bedroom.	Layla até se mudou para um quarto separado.
