Fly!	Voe!
This is an unusual policy.	Isto é uma política incomum.
We've talked about this before.	A gente já conversou sobre isso antes.
Get her out of here!	Tirem ela daqui!
We rested for a while.	Descansamos um pouco.
I don't agree with you on this point.	Discordo de você neste ponto.
I did my best to make friends with him.	Fiz o que pude para me tornar amigo dele.
Do they like oranges?	Eles gostam de laranjas?
Make need a virtue.	Faça da necessidade uma virtude.
Would it be OK to ask Tom to do that?	Seria correto pedir para Tom fazer isso?
I've been praying for you.	Estive orando por vocês.
I'm pretty tired.	Eu estou muito cansado.
Can I catch a ride into town?	Posso pegar uma carona até a cidade?
I'll put you out of your misery.	Vou te tirar da miséria.
He sits wherever he wants to.	Ele fica sentado onde quer que ele queira.
Variety delights.	A diversidade encanta.
I think that although the transportation system in Japan is convenient, the cost of living there is not very low.	Eu penso que embora o sistema de transporte do Japão seja conveniente, o custo de vida lá não é tão baixo.
Every religion prohibits murder.	Todas religiões proíbem o assassinato.
"""I can't do everything you've asked me to do."" ""Then just do what you can."""	"""Não posso fazer tudo o que você me pediu."" ""Então faça apenas o que puder."""
Tom got pulled over by the police.	Tom foi parado pela polícia.
I don't need you anymore.	Já não preciso de você.
Are you the new assistant?	Você é a nova assistente?
Tom bought a refurbished phone.	Tom comprou um celular recondicionado.
Are you on the list?	Você está na lista?
This is the first time I've ever pronounced this word correctly.	É a primeira vez que eu pronuncio esta palavra corretamente.
It's all so difficult.	É tudo tão difícil.
Why didn't Tom show up?	Por que Tom não apareceu?
He is proud of his son.	Ele tem orgulho do filho.
How does this happen?	Como isso aconteceu?
I didn't know Tom was from Boston.	Eu não sabia que Tom era de Boston.
It was a tedious job.	Era um trabalho tedioso.
Grandma gave me a sewing box with a needle, a pincushion, scissors, a ribbon, a zipper, a spool of thread, Velcro, and a tape measure.	Vovó me deu uma caixa de costura com agulha, almofada de alfinete, tesoura, fita, zíper, tubo de linha, velcro e fita métrica.
It is not good for your health to shut yourself in all day.	Não lhes faz bem à saúde ficarem vocês o dia todo fechados em casa.
Tom cried at the end of the movie.	Tom chorou no final do filme.
I know that Tom will be impartial.	Sei que o Tom será imparcial.
We agree with you.	Nós concordamos contigo.
I was right and Tom was wrong.	Eu estava certo e Tom estava errado.
I have an appointment with my uncle tomorrow.	Tenho um compromisso com o meu tio amanhã.
He seems to be involved in that matter.	Ele parece estar envolvido naquele assunto.
Tom doesn't know how to write a love letter in French.	O Tom não sabe escrever uma carta de amor em francês.
I haven't eaten in three days.	Não como há três dias.
That's a beautiful color on you.	Essa cor fica bonita em você.
If you do that, everybody will probably leave.	Se você fizer isso, provavelmente todos irão embora.
I don't know where Tom keeps his umbrella.	Não sei onde Tom guarda o guarda-chuva dele.
Cookie wags his tail when he sees me.	Cookie abana o rabo quando me vê.
How long has it been since you received a letter from him?	Quanto tempo faz desde que você recebeu uma carta dele?
How long have you worked in Boston?	Há quanto tempo você trabalha em Boston?
Which hat do you want to wear?	Qual chapéu você gostaria de usar?
I'll win for sure.	Eu vou vencer com certeza.
You're a brat.	Você é um pirralho.
Tom really knows how to tell a story.	Tom realmente sabe como contar uma história.
Tom didn't have the right equipment to do the job.	Tom não tinha o equipamento certo para fazer o trabalho.
Is it very windy in your village in the fall?	Venta muito em sua aldeia no outono?
Are you really just giving it away?	Você realmente está doando isso?
I should've stayed at home.	Eu devia ter ficado em casa.
Tom just went inside.	Tom apenas entrou.
Let's see what Tom is doing.	Vamos ver o que o Tom está fazendo.
We are annoying the teacher.	Estamos irritando o professor.
Are you jealous of him?	Estás com ciúme dele?
I learn French at school.	Eu estudo francês na escola.
My favorite city is Boston.	Boston é a minha cidade favorita.
He is not your enemy.	Ele não é seu inimigo.
He works as a teacher, but actually he's a vampire.	Ele trabalha como professor, mas na verdade é um vampiro.
I'm not being unreasonable.	Não estou sendo intolerante.
I wish I could be in Paris now.	Eu queria poder estar em Paris agora.
I have to water the flowers.	Preciso regar as flores.
He was sitting there.	Ele estava sentado aí.
Tom will go first.	Tom vai primeiro.
Tom was shocked by what happened.	Tom estava chocado com o que aconteceu.
You have to share the cake equally.	Vocês devem repartir o bolo igualmente.
Can you tell Tom that I called?	Você pode dizer ao Tom que eu liguei?
Tom is there, isn't he?	O Tom está lá, não está?
Do you like my plates?	Gosta dos meus pratos?
Do you really think Tom is conceited?	Você realmente acha que o Tom é vaidoso?
The U.S. government has announced sweeping rules that require chain restaurants and movie theaters across the country to post calorie counts on their menus.	O governo estadunidense anunciou regras abrangentes que exigem que as cadeias de restaurantes e de cinemas em todo o país apresentem as quantidades de calorias nos seus menus.
We might speak French to Tom.	Podemos falar em francês com o Tom.
Tom is a creative person.	Tom é uma pessoa criativa.
I misread it.	Eu li mal.
Tom enjoys taking pictures.	Tom gosta de tirar fotos.
Tom stopped talking as soon as he noticed Mary wasn't listening anymore.	Tom parou de falar assim que notou que a Mary não estava escutando mais.
Once again I try to stay with a group a little bit bigger.	Mais uma vez eu tento ficar com um grupinho um pouco maior.
I'll take care of the dog till tomorrow.	Vou tomar conta do cachorro até amanhã.
Tom asked me how I liked my new job.	Tom me perguntou se eu estava gostando do meu novo emprego.
How is it?	Como isso é?
You can learn, no matter your age.	Você pode aprender, não importa a sua idade.
I'm not forgetting that.	Eu não estou esquecendo isso.
I will return at 6:30.	Eu voltarei às 6 e meia.
Show him who's boss.	Mostra para ele quem é o chefe.
Food prices have skyrocketed.	Os preços da comida dispararam.
When you see a shooting star, make a wish.	Quando vires uma estrela cadente, pede um desejo.
I wonder whether or not Tom is being sarcastic.	Eu me pergunto se o Tom está ou não sendo sarcástico.
Your sister has a sense of beauty.	Sua irmã tem senso de beleza.
We're from Canada.	Somos do Canadá.
Tom took everything with him.	Tom levou tudo com ele.
I do that as much as Tom does.	Eu faço isso tanto quanto o Tom.
There are things I need to do.	Há coisas que preciso fazer.
I believe you.	Acredito em você.
Do you miss Tom?	Vocês sentem falta do Tom?
Tom said he wouldn't go with Mary.	Tom disse que não ia com Mary.
Tom knew he didn't have enough money to buy everything he needed.	O Tom sabia que ele não tinha dinheiro o suficiente para comprar tudo o que ele queria.
I'll send a message to Tom.	Vou mandar uma mensagem para o Tom.
She asked me if I would be free next Sunday.	Ela me perguntou se eu vou estar livre neste domingo.
It's no wonder Tom's sleeping poorly; he drinks up to twelve cups of coffee a day.	Não me admira que Tom ande dormindo mal; ele bebe até doze xícaras de café por dia.
I had to stop.	Eu tive de parar.
You can do that right now if you want to.	Você pode fazer isso agora se quiser.
We were eating eggs.	Estávamos comendo ovo.
I don't wear glasses anymore.	Eu deixei de usar óculos.
Tom looked very tired when he got home.	Tom parecia muito cansado quando chegou em casa.
It's not going to work out.	Isso não vai funcionar.
He isn't afraid of death.	Ele não tem medo da morte.
You should call a doctor right away.	Você deve chamar um médico imediatamente.
The world speaks English.	O mundo fala inglês.
Fifty years ago, the first humans landed on the moon.	Cinquenta anos atrás, os primeiros seres humanos pousaram na lua.
I wonder who Tom was talking to.	Eu só queria saber com quem o Tom estava falando.
Brazil first and God over everyone.	Brasil acima de tudo e Deus acima de todos.
Why don't you leave, Tom?	Por que você não vai embora, Tom?
This is all I need.	Isto é tudo de que eu preciso.
I'd prefer not to go to Boston.	Eu preferiria não ir para Boston.
Tom is the one who did all this.	Foi o Tom quem fez tudo isso.
He arrived at the station at five.	Ele chegou na estação às cinco.
I'm your friend.	Sou seu amigo.
They're not here.	Elas não estão aqui.
Everything is all right.	Está tudo certo.
I live alone in this house.	Moro sozinho nessa casa.
Tom is out of town this week.	Tom está fora da cidade esta semana.
Are you sure you don't want to go to Boston with Tom?	Você tem certeza de que não quer ir à Boston com o Tom?
You already did that.	Tu já fizeste isso.
I feel useless.	Eu me sinto inútil.
Aren't they adorable?	Elas não são adoráveis?
Who told you that Tom and Mary were dating?	Quem te contou que Tom e Mary estavam saindo juntos?
Where did you find it? Somewhere in the forest. I couldn't say precisely.	"""Onde você o encontrou?"" ""Em algum lugar na floresta. Não sei dizer exatamente."""
You might find you have a favorite piece, as Gufeld had his g7 bishop in the King's Indian Defence.	Talvez você descubra que tem uma peça favorita, como Gufeld tinha o seu bispo de g7 na defesa Índia do Rei.
Tom stayed in Boston for the weekend.	O Tom ficou em Boston durante o fim de semana.
Several children are playing on the beach.	Várias crianças estão brincando na praia.
March 17 is St. Patrick’s Day, and for millions of Americans of Irish descent, and others in search of a good time, that means a razzle-dazzle parade up New York’s Fifth Avenue.	17 de março é o Dia de São Patrício e, para milhões de americanos de ascendência irlandesa e outros à procura de diversão, isso significa um desfile garrido pela Quinta Avenida de Nova Iorque.
I don't know anything at all about that.	Não sei nada sobre isso.
Christopher Columbus despised pirates, but he loved their eyepatches. Sometimes, he would wear one - just for fun.	Cristóvão Colombo desprezava os piratas, mas ele adorava seus tapa-olhos. Às vezes, ele vestiria um desses - só para diversão.
I'm doing it for you.	Estou fazendo isso por você.
Tom is an archivist.	Tom é arquivista.
I didn't scream.	Eu não gritei.
Does Tom cry a lot?	Tom chora muito?
It's a badge of honor.	É uma medalha de honra.
Layla was stabbed four times on her chest.	Leila foi apunhalada quatro vezes no peito.
Throughout a person's life, nerve cells are growing, retracting, creating, and breaking connections with other nerve cells.	Durante toda a vida de uma pessoas, as células nervosas estão crescendo, retraindo-se, criando e rompendo conexões com outras células nervosas.
Both of them are teachers.	Ambos são professores.
I want you to be prepared.	Eu quero que você esteja preparada.
The company claims that the delay was unintentional.	A empresa afirma que o atraso foi involuntário.
Tom's favorite singer is always changing.	O cantor favorito de Tom está sempre mudando.
She finally made it.	Ela finalmente conseguiu.
I'd like you to help me if you have nothing in particular to do.	Eu gostaria que você me ajudasse se você não tiver nada em particular para fazer.
Do you use a deodorant?	As senhoras usam desodorante?
Have you ever done it?	Você já fez isso alguma vez?
I think that we have bought everything we need.	Acho que compramos tudo aquilo de que estamos precisando.
Tom has a Swiss bank account.	Tom possui uma conta em um banco suíço.
He warned the children against playing in the street.	Ele alertou as crianças sobre brincar na rua.
I decided to stay at Tom's place.	Decidi ficar na casa de Tom.
I'd like to be like Tom.	Eu gostaria de ser como o Tom.
Tom sweated.	Tom suava.
You might want to try studying in the library.	Talvez seja melhor você estudar na biblioteca.
It's okay.	Está bem.
She allowed the servant to comb her hair with a golden comb.	Ela permitiu que o criado lhe penteasse os cabelos com um pente dourado.
Tom has already eaten supper.	Tom já ceou.
It's very windy today.	Está ventando muito hoje.
Lead is dangerous.	O chumbo é perigoso.
I need mine.	Preciso do meu.
Things weren't as bad I as expected.	As coisas não estavam tão ruins quanto esperava.
Yes, but they're so much work.	Sim, mas eles dão tanto trabalho.
He can not have passed the exam.	Ele não pode ter passado no exame.
I've received news about Tom.	Eu recebi notícias de Tom.
That plan is unacceptable.	Esse plano é inaceitável.
He tried many different methods.	Ele tentou várias maneiras diferentes.
That's an insult.	Isso é um insulto.
Tom lives in the apartment next to Mary.	Tom mora no apartamento ao lado de Mary.
Do you take MasterCard?	Vocês aceitam MasterCard?
This homework is worth two points in the final grade.	Este trabalho vale 2 pontos da média final.
Tomas changed the future.	Tomás mudou o futuro.
I'll be there.	Eu estarei lá.
Tom thinks you're doing that wrong.	Tom acha que você está fazendo isso errado.
We eat to survive.	Nós comemos para sobreviver.
You may choose what you like.	Você pode escolher o que quiser.
Can you wait about an hour?	Você pode esperar mais ou menos uma hora?
He earns his living by teaching English.	Ele ganha a vida ensinando inglês.
I'm full of energy today.	Estou cheio de energia hoje.
He is squatting.	Ele está de cócoras.
This was built some 500 years ago.	Isso foi construído há uns 500 anos.
They strengthened the dikes to protect the village against the flood.	Eles fortaleceram as represas para proteger a vila contra a enchente.
You were delirious.	Tu deliravas.
Please take one.	Por favor, pegue um.
Tom trusts her.	O Tom confia nela.
They say that St. Petersburg is prettier than Moscow.	Dizem que São Petersburgo é mais bonita que Moscou.
There's nothing wrong with it.	Não há nada de errado com ele.
Tom wasn't upset by what Mary said.	Tom não estava contrariado pelo que a Mary disse.
Tom is a great writer.	Tom é um ótimo escritor.
Tom seems very happy.	Tom parece muito feliz.
There is no reason for her to flee.	Não há razão para que ela fuja.
He was playing the piano and she was singing.	Ele estava tocando piano e ela estava cantando.
How long do you need to learn German?	Quanto tempo você precisa para aprender alemão?
I'm just trying to understand you.	Estou apenas tentando te entender.
"""You do know that drinking that can cause you an abortion?"" ""Son, men don't have abortions."""	"""Você sabia que beber isso pode lhe provocar um aborto?"", ""Filho, homens não têm abortos."""
You can read French, can't you?	Você sabe ler francês, não sabe?
Why does everyone need to learn English?	Por que todo mundo precisa aprender inglês?
Tom has a message for you.	Tom tem uma mensagem para você.
They started drinking vodka. And I'm not sure when they stopped.	Eles começaram a beber vodca. E eu não tenho certeza de quando pararam.
I thought that was really cool.	Eu pensei que era muito legal.
Is Tom still up?	O Tom ainda está acordado?
I can read the writing on the wall.	Posso ler o que está escrito na parede.
I think you should tell Tom that.	Eu acho que você deveria dizer isso ao Tom.
The women's hats are expensive.	O chapéu das mulheres é caro.
Tom is too skinny.	Tom é muito magro.
Tom is a materialist.	O Tom é materialista.
"""Yes,"" she said, ""you're right."""	"""Sim"", disse ela, ""você tem razão."""
I did what Tom wanted.	Eu fiz o que Tom queria.
You will not be harmed.	Você não será ferido.
What's your favorite perfume?	Qual é o seu perfume favorito?
Everyone thinks Tom is rich.	Todos acham que Tom é rico.
Those are Tom's shoes.	Esses são os sapatos do Tom.
I've had that problem myself.	Eu mesmo tive esse problema.
When do I have to return the car?	Quando eu tenho que devolver o carro?
Would you like to help someone?	Você gostaria de ajudar alguém?
He's the chairman of the committee.	Ele é o presidente do comitê.
I wasn't sure I could trust you.	Eu não tinha certeza se eu podia confiar em você.
I didn't know Tom was a singer.	Eu não sabia que Tom era cantor.
I didn't take the wrong umbrella.	Eu não peguei o guarda-chuva errado.
She liked Charles as soon as she met him.	Ela gostou do Charles assim que o conheceu.
Tom needs a little more practice.	Tom precisa praticar um pouco mais.
I'll gain weight again!	Vou engordar de novo!
I'll make sure Tom writes to you.	Vou me certificar de que o Tom escreverá às senhoras.
Tom is his family's main breadwinner.	Tom é o principal ganha-pão da família.
There were two abstentions.	Houve duas abstenções.
I worked hard all day, so I was very tired.	Trabalhei duro o dia todo, então estava muito cansado.
Tom said that he wanted to talk to you in person.	Tom disse que gostaria de falar com você pessoalmente.
I spoke slowly so that they might understand me.	Falei devagar para que pudessem me entender.
The registration deadline is October 20th.	O prazo para inscrições é 20 de outubro.
We both know you are lying to me, don't we?	Ambos sabemos que você está mentindo para mim, não é?
Can you get that medicine over the counter or do you need a prescription?	Dá para comprar esse remédio sem prescrição ou precisa de receita?
We don't need you anymore.	Não precisamos mais de você.
Tom showed us his new car.	Tom nos mostrou o carro novo dele.
Doing that would be romantic.	Fazer isso seria romântico.
I can hear someone talking in the next room.	Eu consigo ouvir alguém conversando na sala ao lado.
I'd appreciate it if you didn't mention this to anyone.	Eu agradeceria se você não mencionasse isto a ninguém.
On hearing the news of the birth of his first child, he jumped for joy.	Ao ouvir sobre o nascimento de seu primeiro filho, ele pulou de alegria.
Tom definitely knows what Mary wants him to do.	Tom certamente sabe o que Maria quer que ele faça.
Look, I don't want to talk about it.	Olha, eu não quero falar sobre isso.
The prisoner has escaped!	O prisioneiro escapou!
That would lead to the production of more carbon dioxide, the main gas responsible for global warming.	Isso levaria à produção de mais dióxido de carbono, o principal gás responsável pelo aquecimento global.
That's what we need right now.	É disso que precisamos agora.
“Don’t follow you,” said Filby.	“Não o sigo,” disse o Filby.
Tom wasn't annoyed, but Mary was.	Tom não estava aborrecido, mas Mary sim.
I'm just telling you what I found.	Só estou te contando o que achei.
I need a hand.	Preciso de uma mão.
We prayed for rain.	Oramos pela chuva.
I am happy to help.	Fico feliz em ajudar.
My grandfather no longer drives.	Meu avô não dirige mais.
Damn, the elephants are blocking my way!	Raios! Os elefantes estão bloqueando meu caminho!
The Japanese are often criticized for being inward looking‏.	Os japoneses são muitas vezes criticados por serem introspectivos.
I knew that it was you all the time.	Eu sabia que era você o tempo todo.
There was nothing they could really do to prevent Fadil from beating Layla.	Não havia nada que pudessem realmente fazer para evitar que Fadil batesse em Layla.
I don't need any more credits.	Não preciso de mais nenhum crédito.
Did you hear about Tom's accident?	Você soube do acidente do Tom?
I left there a little after 2:30.	Eu saí de lá um pouco depois das 2:30.
Isn't the weather great?	O tempo não está ótimo?
There are many animals to see there.	Há muitos animais para ver lá.
You should call a doctor right away.	Você deveria chamar um médico imediatamente.
In 48 hours, everything will be over!	Em 48 horas, tudo terá acabado!
Why do we have to go to Boston?	Por que temos que ir para Boston?
Tom needs to buy a new raincoat.	Tom precisa comprar uma capa de chuva nova.
I had pizza for lunch.	Eu comi pizza no almoço.
Tom is a very angry boy.	Tom é um menino muito irritado.
Although simpler than chess, checkers also require the calculation of sequences of moves and the analysis of structures and positions.	Embora seja mais simples que o xadrez, o jogo de damas também exige cálculo de sequências de jogadas e análise de estruturas e posições.
Get rid of her.	Livre-se dela.
I wasn't thinking.	Eu não estava pensando.
I'll fix that.	Vou consertar isso.
I don't have so many skills.	Eu não tenho muitas habilidades.
I will go provided that she comes.	Eu vou se ela for vir.
Why are you yawning?	Por que você está bocejando?
They told her.	Elas lhe disseram.
Tom looked for Mary everywhere.	Tom procurou por Mary por toda parte.
I wanted a horse, but I got a bicycle.	Eu queria um cavalo mas eu ganhei uma bicicleta.
Have you ever managed a company?	Você já gerenciou uma empresa?
If you don't want to sing, you don't have to.	Se não quiser cantar, você não precisa.
We're sorry for any inconvenience.	Pedimos desculpas por qualquer inconveniente.
I hate broccoli.	Odeio brócolis.
I'm from the East Coast.	Eu sou da Costa Leste.
Tom is very afraid of dogs.	Tom tem medo de cães.
What's your fetish?	Qual é o seu fetiche?
I ran as fast as I could to catch up with Tom.	Eu corri o mais rápido que eu pude para poder alcançar o Tom.
No one knows the reason for that.	Ninguém sabe o motivo disso.
You don't have a clue what you're talking about.	Eu não tenho a mínima ideia do que você está falando.
Thanks again.	Obrigado novamente.
I'd like two prints of each.	Gostaria de ter duas cópias de cada.
Shut it down.	Desliga.
An apple fell off the tree.	Uma maçã caiu da macieira.
I want to know who that guy is.	Eu quero saber quem é esse cara.
Chief political reporter Ben Agina of Kenya’s Standard newspaper says that the main concern still to be worked out is achieving a portfolio balance.	O chefe de reportagem política, Ben Agina, do jornal queniano Standard diz que o principal problema ainda por resolver é alcançar um equilíbrio de pastas.
Must be nice...	Deve ser bom...
He doesn't read any more books.	Ele não lê mais livros.
The king was executed.	O rei foi executado.
What he said was that he was satisfied.	O que ele disse é que estava satisfeito.
I told Tom to buy the cheaper one.	Eu disse a Tom que comprasse o mais barato.
I didn't think you were still alive.	Eu não pensava que você ainda estava vivo.
Please remain seated until the bus stops completely.	Por favor permaneça sentado até que o ônibus pare completamente.
He begged his father to buy him a bicycle.	Ele insistiu que seu pai lhe comprasse uma bicicleta.
Tom is utterly disorientated.	Tom está completamente desorientado.
I think you've gone too far.	Eu acho que você foi longe demais.
I'm not convinced at all.	Eu não estou nem um pouco convencido.
I'm drunk.	Estou bêbada.
I think she's missed on the team.	Eu acho que ela está fazendo falta no time.
Tom is walking Mary's dog.	O Tom está levando o cachorro da Mary para passear.
Tom isn't colorblind.	Tom não é daltônico.
Tom isn't lazy.	Tom não é preguiçoso.
Tom said he was thirsty.	Tom disse que estava com sede.
Does it matter to you?	Isso te importa?
Tom is flirting with Mary.	Tom está flertando com Maria.
I would like to make a phone call.	Gostaria de fazer uma chamada telefônica.
I think it's time for me to discuss the matter with him.	Eu acho que é hora de eu discutir o assunto com ele.
I promise you I won't ever leave you.	Eu te prometo que nunca te deixarei.
Children accept your mistakes and teach you without judgment.	As crianças aceitam seus erros e ensinam você sem julgar.
I'll be responsible.	Eu serei responsável.
A combination is a planned series of moves that are intended to force certain responses from the opponent, and lead them into an undesirable position.	A combinação é uma série planejada de movimentos que têm como objetivo forçar certas respostas do oponente, levando-o a uma posição indesejável.
I made it so only root could access the administrative screen.	Eu fiz com que apenas root pudesse acessar a tela administrativa.
Tom says he doesn't like Boston.	Tom diz que ele não gosta de Boston.
This apple tastes sour.	Esta maçã está azeda.
Tom has convinced Mary to stay in Boston.	Tom convenceu Mary de ficar em Boston.
A great ship needs deep waters.	Um navio grande precisa de águas profundas.
Do I have to go with you?	Tenho de ir contigo?
Elephants trumpet.	Os elefantes trombeteiam.
Your English has gotten better.	O inglês de vocês melhorou.
I hope you like it.	Espero que você goste.
"""Who lives at your home?"" ""My wife, my children, and their grandfather and grandmother."""	"""Quem mora em sua casa?"" ""Minha esposa, meus filhos e seus avós""."
Do you know which room the meeting will be held in?	Vós sabeis em que sala se vai realizar a entrevista?
My alarm clock didn't go off this morning, so I missed my bus.	Meu despertador não tocou de manhã, então eu perdi o ônibus.
Tom fell in love with his next door neighbor.	Tom se apaixonou por sua vizinha.
Please take this away.	Por favor, retire isto daqui.
You would be saved a great deal of trouble.	Você teria evitado muitos problemas.
Our plan is working.	Nosso plano está funcionando.
Tom nodded.	Tom acenou.
This is getting out of hand.	Isto está ficando fora de controle.
I need to find her.	Preciso encontrá-la.
Tom still lives there.	Tom ainda mora lá.
Gasoline is sold by the liter.	A gasolina é vendida por litro.
I should've worn a hat.	Eu deveria ter usado um chapéu.
Tom decided to give up trying to keep up with Mary.	Tom decidiu deixar de tentar manter o contato com Mary.
His speech was too short.	O discurso dele foi demasiado curto.
That's what I want most right now.	Isso é o que eu mais quero agora.
I'm going to move to Boston.	Eu vou me mudar para Boston.
Now let's talk.	Agora vamos conversar.
Are you scared?	Vocês estão assustados?
I would like to be alone now.	Eu gostaria de ficar sozinha.
I'll get to it right away.	Farei isto imediatamente.
You're my new assistant.	Você é meu novo assistente.
I don't think that Tom cares about me.	Eu acho que o Tom não se importa comigo.
He became thought of as the best lawyer in this city.	Ele passou a ser considerado o melhor advogado desta cidade.
I don't know him personally.	Eu não o conheço pessoalmente.
I got tickets yesterday.	Obtive uns ingressos ontem.
Tom lied about where he was on that day.	Tom mentiu sobre onde ele estava naquele dia.
A lot of people don't vote.	Muitas pessoas não votam.
Nine times nine is eighty-one.	Nove vezes nove são oitenta e um.
There was plenty of traffic.	Houve bastante tráfego.
Who did Tom think would help him?	Quem o Tom achou que iria ajudá-lo?
I talked to Tom about my feelings.	Eu falei com Tom sobre meus sentimentos.
I bought all the apples.	Comprei todas as maçãs.
I don't want you to do that, Tom.	Eu não quero que você faça isso, Tom.
We need a hero.	Nós precisamos de um herói.
Tom lost his job at the university.	Tom perdeu seu emprego na universidade.
Tom waited for Mary to leave.	Tom esperou Maria sair.
I can't explain it to you yet.	Ainda não posso te explicar isso.
Have you ever memorized the national anthem?	Você já memorizou o hino nacional?
Each day is a little life: every waking and rising a little birth, every fresh morning a little youth, every going to rest and sleep a little death.	Cada dia é uma pequena vida: cada despertar e levantar-se um pequeno nascimento, cada nova manhã uma pequena juventude, cada deitar-se para descansar e dormir uma pequena morte.
We offer free shipping.	Nós oferecemos frete grátis.
Tom wants to do that as badly as Mary does.	Tom quer fazer isso tão mal quanto Mary.
Can you drive a car?	Você dirige?
I am counting on you.	Estou contando com vocês.
He's just jealous.	Ele está com ciúmes.
You look strong.	Você parece forte.
Don't forget to take the first-aid kit.	Não esqueça de levar seu kit de primeiros socorros.
My great-grandson doesn't eat eggs.	Meu bisneto não come ovos.
I had a great night.	Eu tive uma noite excelente.
I wish there were another way.	Eu queria que houvesse outro jeito.
It started raining hard. Because of that, we played inside.	Começou a chover forte. Por causa disso, brincamos lá dentro.
I'm losing clients.	Estou perdendo clientes.
She has forgiven him for everything.	Ela o perdoou por tudo.
Unfortunately, that is true.	Infelizmente, isso é verdade.
I don't think Tom will ever speak to me again.	Não creio que o Tom irá falar comigo novamente.
I'm his family's lawyer.	Sou advogado da família dele.
Do you think that Tom will like that?	Você acha que Tom gostará disso?
He boiled some eggs in the kitchen.	Ele cozinhou alguns ovos na cozinha.
Do you watch TV a lot?	Vocês assistem muita televisão?
They know your name.	Eles sabem seu nome.
Would you please go to the supermarket and buy some bread?	Você poderia por favor ir ao supermercado e comprar pão?
It's his.	É dele.
Can I borrow your tennis racket today?	Posso pegar sua raquete de tênis emprestada hoje?
He proved to be honest.	Ele mostrou que é honesto.
Since I had a cold, I didn't go to school.	Como eu estava resfriado, não fui à escola.
Should we stop now?	Nós devemos parar agora?
I like that type of stuff.	Eu gosto desse tipo de coisa.
Where is the nearest police station?	Onde é a delegacia mais próxima?
Don't do to others that which you would not wish done to yourself.	Não faça com os outros o que você não quer que seja feito com você.
Tom is an extremely talented artist.	Tom é um artista extremamente talentoso.
Sami's hair was falling off.	O cabelo de Sami estava caindo.
Let's take the subway.	Vamos pegar o metrô.
You will do well to leave him.	Você fará bem em deixá-lo.
It can celebrated in a lot of ways.	Isso pode ser celebrada de muitas formas.
What else did you have?	O que mais você tinha?
My grandparents were born in the last century.	Meus avós nasceram no século passado.
Do you think I talk too much?	Você acha que eu falo demais?
I won't be able to do that without your help.	Não conseguirei fazer isso sem tua ajuda.
You won’t believe what happened next!	Vocês não vão acreditar no que aconteceu depois!
For starters, I want to eat a little bit of pie.	Para começar, quero comer um pouco de torta.
Let's sing together.	Vamos cantar juntos.
You know you don't have to do this.	Você sabe que não precisa fazer isto.
That isn't mine.	Isso não é meu.
I don't think he is truthful.	Eu não acho ele confiável.
You can't imagine how tired I am.	Você não imagina como eu estou cansado.
It was a beautiful sunny day.	Foi um belo dia ensolarado.
Did Tom steal something again?	Tom roubou alguma coisa de novo?
Are any of these cups clean?	Algum desses copos está limpo?
Whatever you do or don't do, it doesn't interest me.	O que você faz ou deixa de fazer, não me interessa.
For how many people?	Para quantas pessoas?
The sorcerer put a spell on the children.	O mago lançou um feitiço sobre as crianças.
I find it very beautiful.	Eu acho muito lindo.
We should try to treat everybody with justice.	Devemos tentar tratar a todos com justiça.
I was jealous of you.	Eu estava com ciúmes de vocês.
I've never done drugs.	Eu nunca usei drogas.
That's good, isn't it?	É bom, não é?
Fadil met a Muslim woman.	Fadil conheceu uma mulher muçulmana.
I don't like to talk about him.	Eu não gosto de falar dele.
Where does he come from?	De onde mesmo ele vem?
You deserve congratulations.	Você merece parabéns.
I think that it is impossible to master a foreign language by self-learning.	Acho que é impossível dominar uma língua estrangeira sendo autodidata.
Things like the ‘morning-after pill’ can just be reclassified as an abortifacient instead of as a contraceptive.	"Coisas como a ""pílula do dia seguinte"" podem simplesmente ser reclassificadas como abortivos em vez de contracetivos."
I was already thinking you would not come.	Eu já estava pensando que vocês não viriam.
I always have fun when I hang out with Tom.	Eu sempre me divirto quando saio para passear com o Tom.
I have to go back to work.	Eu tenho que voltar para o trabalho.
I'll share them with you.	Vou partilhá-los contigo.
Tom can speak French as well as you can.	Tom pode falar francês tão bem quanto você.
If I know what love is, it is because of you.	Se eu sei o que é o amor, é por causa de você.
I was just curious.	Só estava com curiosidade.
I miss Boston.	Tenho saudades de Boston.
I cannot approve the project.	Eu não posso aprovar o projeto.
Tom told me he was Canadian.	Tom me disse que era canadense.
The doctor told me to eat more fiber.	O doutor me disse para comer mais fibra.
No one can step twice into the same river.	Ninguém pode pisar duas vezes dentro do mesmo rio.
I thought Tom and Mary made such a nice couple.	Achava que Tom e Mary fazem um casal bom demais.
I chose not to leave.	Eu escolhi não ir embora.
I knew who he was.	Eu sabia quem ele era.
I need a volunteer.	Eu preciso de um voluntário.
Tom is reading in the library.	Tom está lendo na biblioteca.
Tom deleted a video by accident.	Tom deletou um vídeo por acidente.
Tom is definitely afraid.	Definitivamente o Tom está assustado.
It was a big help for me.	Foi de grande ajuda para mim.
This car belongs to her.	Este carro é dela.
Tom loves science fiction.	Tom adora ficção científica.
Tom has gone away for a weekend.	Tom ficou fora por um fim de semana.
Will you pay in cash?	Você vai pagar em dinheiro?
Tom loves chocolate.	Tom adora chocolate.
